ts;x;y;z
2022-12-27 13:56:03.731472;1.559544;1.165008;-0.636862,
2022-12-27 13:56:03.741531;1.652093;1.303769;-0.398506,
2022-12-27 13:56:03.751589;1.831007;1.269248;-0.239411,
2022-12-27 13:56:03.761647;2.105044;1.044437;-0.254337,
2022-12-27 13:56:03.771705;2.352119;0.773039;-0.279157,
2022-12-27 13:56:03.781763;2.664008;0.194057;-0.209219,
2022-12-27 13:56:03.791822;2.906070;-0.502775;-0.165137,
2022-12-27 13:56:03.801880;2.969043;-1.077646;-0.184962,
2022-12-27 13:56:03.811938;2.857376;-1.231932;-0.263872,
2022-12-27 13:56:03.821996;2.719050;-1.006717;-0.309381,
2022-12-27 13:56:03.832054;2.608983;-0.502711;-0.315451,
2022-12-27 13:56:03.842112;2.609047;0.099041;-0.247337,
2022-12-27 13:56:03.852170;2.701934;0.784333;-0.109765,
2022-12-27 13:56:03.862228;2.869294;1.269847;-0.039070,
2022-12-27 13:56:03.872286;3.053395;1.544184;-0.052551,
2022-12-27 13:56:03.882344;3.246908;1.325658;-0.094974,
2022-12-27 13:56:03.892402;3.397216;0.873435;-0.080540,
2022-12-27 13:56:03.902460;3.368508;0.523888;-0.067788,
2022-12-27 13:56:03.912518;3.163750;0.144397;-0.216670,
2022-12-27 13:56:03.922577;2.906886;-0.270426;-0.498520,
2022-12-27 13:56:03.932635;2.802489;-0.521058;-0.726062,
2022-12-27 13:56:03.942693;2.929201;-0.439134;-0.826082,
2022-12-27 13:56:03.952751;3.194581;-0.241404;-0.760306,
2022-12-27 13:56:03.962809;3.419507;-0.049675;-0.501314,
2022-12-27 13:56:03.972867;3.516211;0.020586;-0.221447,
2022-12-27 13:56:03.982925;3.448554;0.055942;-0.107665,
2022-12-27 13:56:03.992982;3.339468;0.046290;-0.189428,
2022-12-27 13:56:04.003041;3.190208;0.141854;-0.300336,
2022-12-27 13:56:04.013099;3.088884;0.098434;-0.442633,
2022-12-27 13:56:04.023157;3.107831;0.053497;-0.600829,
2022-12-27 13:56:04.033215;3.275872;0.082416;-0.669797,
2022-12-27 13:56:04.043273;3.514971;0.099105;-0.463629,
2022-12-27 13:56:04.053332;3.670517;0.116908;-0.038103,
2022-12-27 13:56:04.063390;3.678722;0.111713;0.291733,
2022-12-27 13:56:04.073448;3.513443;0.050865;0.402500,
2022-12-27 13:56:04.083506;3.349552;-0.159051;0.308274,
2022-12-27 13:56:04.093564;3.202582;-0.251042;0.155689,
2022-12-27 13:56:04.103621;3.041841;-0.392876;-0.033441,
2022-12-27 13:56:04.113680;2.988663;-0.437412;-0.138438,
2022-12-27 13:56:04.123738;3.129452;-0.217651;-0.071626,
2022-12-27 13:56:04.133796;3.361306;0.141192;0.168440,
2022-12-27 13:56:04.143854;3.521762;0.493665;0.345828,
2022-12-27 13:56:04.153912;3.584358;0.717771;0.416817,
2022-12-27 13:56:04.163970;3.618252;0.520689;0.382452,
2022-12-27 13:56:04.174028;3.511959;0.272263;0.239646,
